party,vote_id,procedure_type,timestamp,num_for,num_against,num_abstention,num_no_votes,total_votes,majority_col,majority_votes,percent_dissent
ID,118631,RSP,2020-10-08T15:53:46,51,19,4,1,74,FOR,51,0.31081081081081086
Non-attached,118631,RSP,2020-10-08T15:53:46,26,0,3,1,29,FOR,26,0.10344827586206895
Renew,118631,RSP,2020-10-08T15:53:46,98,0,0,0,98,FOR,98,0.0
S&D,118631,RSP,2020-10-08T15:53:46,142,0,0,3,142,FOR,142,0.0
ECR,118632,RSP,2020-10-08T15:53:46,58,0,3,1,61,FOR,58,0.049180327868852514
EPP,118632,RSP,2020-10-08T15:53:46,185,0,0,2,185,FOR,185,0.0
GUE/NGL,118632,RSP,2020-10-08T15:53:46,11,10,18,0,39,ABSTENTION,18,0.5384615384615384
Greens/EFA,118632,RSP,2020-10-08T15:53:46,66,0,1,2,67,FOR,66,0.014925373134328401
ID,118632,RSP,2020-10-08T15:53:46,28,7,39,1,74,ABSTENTION,39,0.472972972972973
Non-attached,118632,RSP,2020-10-08T15:53:46,23,4,2,1,29,FOR,23,0.2068965517241379
Renew,118632,RSP,2020-10-08T15:53:46,97,0,1,0,98,FOR,97,0.010204081632653073
S&D,118632,RSP,2020-10-08T15:53:46,141,0,0,4,141,FOR,141,0.0
ECR,118633,RSP,2020-10-08T15:53:46,3,42,16,1,61,AGAINST,42,0.3114754098360656
EPP,118633,RSP,2020-10-08T15:53:46,24,3,158,2,185,ABSTENTION,158,0.1459459459459459
GUE/NGL,118633,RSP,2020-10-08T15:53:46,36,0,3,0,39,FOR,36,0.07692307692307687
Greens/EFA,118633,RSP,2020-10-08T15:53:46,67,0,0,2,67,FOR,67,0.0
ID,118633,RSP,2020-10-08T15:53:46,26,4,44,1,74,ABSTENTION,44,0.4054054054054054
Non-attached,118633,RSP,2020-10-08T15:53:46,23,0,6,1,29,FOR,23,0.2068965517241379
Renew,118633,RSP,2020-10-08T15:53:46,92,0,6,0,98,FOR,92,0.061224489795918324
S&D,118633,RSP,2020-10-08T15:53:46,142,0,0,3,142,FOR,142,0.0
ECR,121819,DEC,2020-10-20T17:08:27,16,3,43,0,62,ABSTENTION,43,0.30645161290322576
EPP,121819,DEC,2020-10-20T17:08:27,169,0,15,2,184,FOR,169,0.08152173913043481
GUE/NGL,121819,DEC,2020-10-20T17:08:27,39,0,0,0,39,FOR,39,0.0
Greens/EFA,121819,DEC,2020-10-20T17:08:27,68,0,0,1,68,FOR,68,0.0
ID,121819,DEC,2020-10-20T17:08:27,46,2,25,2,73,FOR,46,0.36986301369863017
Non-attached,121819,DEC,2020-10-20T17:08:27,25,2,2,1,29,FOR,25,0.13793103448275867
Renew,121819,DEC,2020-10-20T17:08:27,98,0,0,0,98,FOR,98,0.0
S&D,121819,DEC,2020-10-20T17:08:27,141,0,0,3,141,FOR,141,0.0
ECR,121820,DEC,2020-10-20T17:08:27,55,3,4,0,62,FOR,55,0.11290322580645162
EPP,121820,DEC,2020-10-20T17:08:27,184,0,0,2,184,FOR,184,0.0
GUE/NGL,121820,DEC,2020-10-20T17:08:27,39,0,0,0,39,FOR,39,0.0
Greens/EFA,121820,DEC,2020-10-20T17:08:27,68,0,0,1,68,FOR,68,0.0
ID,121820,DEC,2020-10-20T17:08:27,41,27,5,2,73,FOR,41,0.4383561643835616
Non-attached,121820,DEC,2020-10-20T17:08:27,26,0,3,1,29,FOR,26,0.10344827586206895
Renew,121820,DEC,2020-10-20T17:08:27,98,0,0,0,98,FOR,98,0.0
S&D,121820,DEC,2020-10-20T17:08:27,142,0,0,2,142,FOR,142,0.0
ECR,121822,INL,2020-10-20T22:19:11,55,0,6,1,61,FOR,55,0.09836065573770492
EPP,121822,INL,2020-10-20T22:19:11,184,0,0,2,184,FOR,184,0.0
GUE/NGL,121822,INL,2020-10-20T22:19:11,6,1,32,0,39,ABSTENTION,32,0.17948717948717952
Greens/EFA,121822,INL,2020-10-20T22:19:11,69,0,0,0,69,FOR,69,0.0
ID,121822,INL,2020-10-20T22:19:11,1,18,54,2,73,ABSTENTION,54,0.26027397260273977
Non-attached,121822,INL,2020-10-20T22:19:11,21,5,2,2,28,FOR,21,0.25
Renew,121822,INL,2020-10-20T22:19:11,98,0,0,0,98,FOR,98,0.0
S&D,121822,INL,2020-10-20T22:19:11,137,2,0,5,139,FOR,137,0.014388489208633115
ECR,121828,INI,2020-10-20T22:19:11,51,6,4,1,61,FOR,51,0.16393442622950816
EPP,121828,INI,2020-10-20T22:19:11,179,0,5,2,184,FOR,179,0.02717391304347827
GUE/NGL,121828,INI,2020-10-20T22:19:11,0,30,9,0,39,AGAINST,30,0.23076923076923073
Greens/EFA,121828,INI,2020-10-20T22:19:11,4,3,62,0,69,ABSTENTION,62,0.10144927536231885
ID,121828,INI,2020-10-20T22:19:11,1,44,28,2,73,AGAINST,44,0.3972602739726028
Non-attached,121828,INI,2020-10-20T22:19:11,2,7,19,2,28,ABSTENTION,19,0.3214285714285714
Renew,121828,INI,2020-10-20T22:19:11,95,0,3,0,98,FOR,95,0.030612244897959218
S&D,121828,INI,2020-10-20T22:19:11,132,0,7,5,139,FOR,132,0.05035971223021585
ECR,121829,INI,2020-10-20T22:19:11,54,5,2,1,61,FOR,54,0.11475409836065575
EPP,121829,INI,2020-10-20T22:19:11,182,0,1,3,183,FOR,182,0.005464480874316946
GUE/NGL,121829,INI,2020-10-20T22:19:11,2,15,22,0,39,ABSTENTION,22,0.4358974358974359
Greens/EFA,121829,INI,2020-10-20T22:19:11,68,1,0,0,69,FOR,68,0.01449275362318836
ID,121829,INI,2020-10-20T22:19:11,2,39,32,2,73,AGAINST,39,0.4657534246575342
Non-attached,121829,INI,2020-10-20T22:19:11,19,3,6,2,28,FOR,19,0.3214285714285714
Renew,121829,INI,2020-10-20T22:19:11,98,0,0,0,98,FOR,98,0.0
S&D,121829,INI,2020-10-20T22:19:11,129,7,2,6,138,FOR,129,0.06521739130434778
ECR,122255,INL,2020-10-20T22:19:11,56,4,1,1,61,FOR,56,0.08196721311475408
EPP,122255,INL,2020-10-20T22:19:11,170,5,9,2,184,FOR,170,0.07608695652173914
GUE/NGL,122255,INL,2020-10-20T22:19:11,36,0,3,0,39,FOR,36,0.07692307692307687
Greens/EFA,122255,INL,2020-10-20T22:19:11,68,0,1,0,69,FOR,68,0.01449275362318836
ID,122255,INL,2020-10-20T22:19:11,54,14,5,2,73,FOR,54,0.26027397260273977
Non-attached,122255,INL,2020-10-20T22:19:11,23,3,2,2,28,FOR,23,0.1785714285714286
Renew,122255,INL,2020-10-20T22:19:11,92,0,6,0,98,FOR,92,0.061224489795918324
S&D,122255,INL,2020-10-20T22:19:11,138,0,1,5,139,FOR,138,0.007194244604316502
ECR,122256,INI,2020-10-20T22:19:11,53,3,5,1,61,FOR,53,0.1311475409836066
EPP,122256,INI,2020-10-20T22:19:11,184,0,0,2,184,FOR,184,0.0
GUE/NGL,122256,INI,2020-10-20T22:19:11,39,0,0,0,39,FOR,39,0.0
Greens/EFA,122256,INI,2020-10-20T22:19:11,1,0,68,0,69,ABSTENTION,68,0.01449275362318836
ID,122256,INI,2020-10-20T22:19:11,28,38,7,2,73,AGAINST,38,0.4794520547945206
Non-attached,122256,INI,2020-10-20T22:19:11,24,4,0,2,28,FOR,24,0.1428571428571429
Renew,122256,INI,2020-10-20T22:19:11,98,0,0,0,98,FOR,98,0.0
S&D,122256,INI,2020-10-20T22:19:11,139,0,0,5,139,FOR,139,0.0
ECR,122257,INL,2020-10-20T22:19:11,47,11,3,1,61,FOR,47,0.2295081967213115
EPP,122257,INL,2020-10-20T22:19:11,183,1,0,2,184,FOR,183,0.005434782608695676
GUE/NGL,122257,INL,2020-10-20T22:19:11,7,9,23,0,39,ABSTENTION,23,0.41025641025641024
Greens/EFA,122257,INL,2020-10-20T22:19:11,65,4,0,0,69,FOR,65,0.05797101449275366
ID,122257,INL,2020-10-20T22:19:11,1,13,59,2,73,ABSTENTION,59,0.1917808219178082
Non-attached,122257,INL,2020-10-20T22:19:11,19,6,3,2,28,FOR,19,0.3214285714285714
Renew,122257,INL,2020-10-20T22:19:11,98,0,0,0,98,FOR,98,0.0
S&D,122257,INL,2020-10-20T22:19:11,139,0,0,5,139,FOR,139,0.0
ECR,122258,INL,2020-10-20T22:19:11,50,7,4,1,61,FOR,50,0.180327868852459
EPP,122258,INL,2020-10-20T22:19:11,184,0,0,2,184,FOR,184,0.0
GUE/NGL,122258,INL,2020-10-20T22:19:11,6,5,28,0,39,ABSTENTION,28,0.28205128205128205
Greens/EFA,122258,INL,2020-10-20T22:19:11,64,5,0,0,69,FOR,64,0.07246376811594202
ID,122258,INL,2020-10-20T22:19:11,64,2,7,2,73,FOR,64,0.12328767123287676
Non-attached,122258,INL,2020-10-20T22:19:11,21,6,1,2,28,FOR,21,0.25
Renew,122258,INL,2020-10-20T22:19:11,98,0,0,0,98,FOR,98,0.0
S&D,122258,INL,2020-10-20T22:19:11,139,0,0,5,139,FOR,139,0.0
ECR,122259,INI,2020-10-20T22:19:11,54,4,3,1,61,FOR,54,0.11475409836065575
EPP,122259,INI,2020-10-20T22:19:11,184,0,0,2,184,FOR,184,0.0
GUE/NGL,122259,INI,2020-10-20T22:19:11,0,39,0,0,39,AGAINST,39,0.0
Greens/EFA,122259,INI,2020-10-20T22:19:11,66,3,0,0,69,FOR,66,0.04347826086956519
ID,122259,INI,2020-10-20T22:19:11,54,13,6,2,73,FOR,54,0.26027397260273977
Non-attached,122259,INI,2020-10-20T22:19:11,19,7,2,2,28,FOR,19,0.3214285714285714
Renew,122259,INI,2020-10-20T22:19:11,96,0,1,1,97,FOR,96,0.010309278350515427
S&D,122259,INI,2020-10-20T22:19:11,139,0,0,5,139,FOR,139,0.0
ECR,123171,INI,2020-10-21T17:20:08,54,0,6,2,60,FOR,54,0.09999999999999998
EPP,123171,INI,2020-10-21T17:20:08,182,0,0,4,182,FOR,182,0.0
GUE/NGL,123171,INI,2020-10-21T17:20:08,12,12,14,1,38,ABSTENTION,14,0.631578947368421
Greens/EFA,123171,INI,2020-10-21T17:20:08,67,1,1,0,69,FOR,67,0.02898550724637683
