id,first_name,last_name,party,party_code,agreed,dissented,did_not_vote,total_votes,percent_agree_current,percent_show_up,country,European People’s Party percentage,Renew Europe percentage,Progressive Alliance of Socialists and Democrats percentage,European Conservatives and Reformists percentage,Non-attached Members percentage,Europe of Sovereign Nations percentage,The Left in the European Parliament – GUE/NGL percentage,Greens/European Free Alliance percentage,Patriots for Europe percentage,Identity and Democracy percentage
256929,René,Aust,Europe of Sovereign Nations,ESN,86,56,20,162,53.086419753086425,87.65432098765432,Germany,13.580246913580247,14.19753086419753,14.19753086419753,21.604938271604937,36.41975308641975,53.086419753086425,17.28395061728395,11.11111111111111,38.88888888888889,0.0
124766,Petras,Auštrevičius,Renew Europe,RENEW,666,1160,18,1844,36.117136659436014,99.02386117136659,Lithuania,34.32754880694143,36.117136659436014,35.62906724511931,25.216919739696316,25.976138828633406,1.4099783080260302,25.32537960954447,31.23644251626898,2.386117136659436,13.6117136659436
257117,Adrian-George,Axinia,European Conservatives and Reformists,ECR,78,69,15,162,48.148148148148145,90.74074074074075,Romania,38.88888888888889,37.65432098765432,37.03703703703704,48.148148148148145,23.456790123456788,20.37037037037037,30.246913580246915,33.33333333333333,31.48148148148148,0.0
197781,Malik,Azmani,Renew Europe,RENEW,611,1171,62,1844,33.13449023861171,96.63774403470717,Netherlands,33.13449023861171,33.13449023861171,32.10412147505423,24.945770065075923,24.45770065075922,1.3557483731019524,22.613882863340564,27.928416485900215,2.2234273318872018,13.34056399132321
256936,Thomas,Bajada,Progressive Alliance of Socialists and Democrats,SD,92,68,2,162,56.79012345679012,98.76543209876543,Malta,50.617283950617285,53.70370370370371,56.79012345679012,40.123456790123456,26.543209876543212,16.049382716049383,37.65432098765432,48.76543209876543,27.77777777777778,0.0
257003,Jeannette,Baljeu,Renew Europe,RENEW,89,67,6,162,54.93827160493827,96.29629629629629,Netherlands,54.93827160493827,54.93827160493827,51.23456790123457,38.88888888888889,22.22222222222222,13.580246913580247,32.71604938271605,45.67901234567901,24.074074074074073,0.0
247735,Laura,Ballarín Cereza,Progressive Alliance of Socialists and Democrats,SD,513,157,23,693,74.02597402597402,96.68109668109668,Spain,68.3982683982684,72.72727272727273,74.02597402597402,47.90764790764791,50.93795093795094,3.0303030303030303,48.917748917748916,61.327561327561334,5.772005772005772,26.118326118326117
131580,Jordan,Bardella,Patriots for Europe,PFE,467,1114,263,1844,25.32537960954447,85.73752711496746,France,12.093275488069414,11.822125813449023,11.984815618221258,15.292841648590022,16.268980477223426,3.470715835140998,13.06941431670282,11.062906724511931,4.609544468546638,20.715835140997832
197433,Katarina,Barley,Progressive Alliance of Socialists and Democrats,SD,420,965,459,1844,22.7765726681128,75.10845986984816,Germany,20.932754880694144,22.071583514099782,22.7765726681128,16.10629067245119,16.919739696312362,0.7049891540130151,16.75704989154013,20.336225596529285,1.3557483731019524,7.971800433839479
257110,Dan,Barna,Renew Europe,RENEW,83,64,15,162,51.23456790123457,90.74074074074075,Romania,51.85185185185185,51.23456790123457,49.382716049382715,34.5679012345679,19.753086419753085,11.11111111111111,30.246913580246915,43.20987654320987,20.37037037037037,0.0
197684,Pernando,Barrena Arza,The Left in the European Parliament – GUE/NGL,GUE_NGL,83,808,40,931,8.915145005370569,95.70354457572503,Spain,5.370569280343716,5.907626208378089,6.659505907626208,5.907626208378089,5.800214822771213,3.329752953813104,8.915145005370569,7.089151450053706,5.048335123523094,0.0
257000,Stephen Nikola,Bartulica,European Conservatives and Reformists,ECR,85,58,19,162,52.46913580246913,88.27160493827161,Croatia,37.03703703703704,37.03703703703704,38.2716049382716,52.46913580246913,24.691358024691358,22.22222222222222,29.629629629629626,33.95061728395062,33.95061728395062,0.0
256852,Nikola,Bartůšek,Patriots for Europe,PFE,65,86,11,162,40.123456790123456,93.20987654320987,Czechia,33.33333333333333,32.098765432098766,30.864197530864196,40.74074074074074,30.864197530864196,26.543209876543212,27.77777777777778,27.160493827160494,40.123456790123456,0.0
256948,Arno,Bausemer,Europe of Sovereign Nations,ESN,50,40,72,162,30.864197530864196,55.55555555555556,Germany,9.876543209876543,9.25925925925926,8.641975308641975,13.580246913580247,17.28395061728395,30.864197530864196,9.876543209876543,6.790123456790123,19.753086419753085,0.0
124760,Nicolas,Bay,European Conservatives and Reformists,ECR,371,1351,122,1844,20.119305856832973,93.38394793926247,France,15.672451193058567,15.509761388286334,15.40130151843818,20.119305856832973,19.63123644251627,3.308026030368764,15.238611713665945,14.316702819956618,4.0130151843817785,20.17353579175705
261797,Christophe,Bay,Patriots for Europe,PFE,86,63,4,153,56.209150326797385,97.38562091503267,France,21.568627450980394,22.22222222222222,22.22222222222222,32.6797385620915,43.13725490196079,45.09803921568628,26.143790849673206,18.30065359477124,56.209150326797385,0.0
256887,Wouter,Beke,European People’s Party,EPP,90,60,12,162,55.55555555555556,92.5925925925926,Belgium,55.55555555555556,54.32098765432099,50.617283950617285,36.41975308641975,21.604938271604937,12.345679012345679,30.864197530864196,44.44444444444444,21.604938271604937,0.0
